SIM STATUS,Front Ride height (inches delta),Rear ride height (inches delta),Rake angle (degs),FW,RW,UT,NS,EC,SW,Cl * A (m^2),Cd * A (m^2),L/D,Balance (front),Radiator mass flow (kg/s),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl *  A (m^2)
ANALYZED,-1,0,0.738,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.38,1.77,-2.47,0.53,0.3,-1.61,0.28,-1.58,0.81,-0.81,0.06,-0.04,0.08,-0.04,0.01,-0.61,0.09
ANALYZED,-1,-1,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.45,1.72,-2.01,0.50,0.32,-1.4,0.28,-1.5,0.77,-0.36,0.03,-0.03,0.07,-0.04,0.01,-0.41,0.09
ANALYZED,-1,-0.75,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.73,1.69,-2.21,0.51,0.33,-1.45,0.28,-1.5,0.78,-0.53,0.03,-0.03,0.07,-0.03,0.01,-0.53,0.08
ANALYZED,-1,-0.5,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.99,1.71,-2.33,0.52,0.32,-1.5,0.28,-1.52,0.78,-0.67,0.04,-0.03,0.08,-0.04,0.01,-0.58,0.08
ANALYZED,-1,-0.25,0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.22,1.74,-2.43,0.52,0.32,-1.55,0.28,-1.55,0.8,-0.8,0.05,-0.03,0.08,-0.04,0.01,-0.6,0.09
ANALYZED,-1,0.25,0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.31,1.77,-2.44,0.54,0.3,-1.66,0.28,-1.61,0.83,-0.75,0.05,-0.04,0.08,-0.04,0.01,-0.57,0.09
ANALYZED,-1,0.5,0.923,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.33,1.77,-2.44,0.56,0.28,-1.73,0.28,-1.62,0.84,-0.7,0.05,-0.05,0.07,-0.04,0.01,-0.53,0.09
ANALYZED,-1,0.75,0.988,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.42,1.79,-2.47,0.58,0.26,-1.83,0.29,-1.63,0.84,-0.65,0.05,-0.06,0.07,-0.04,0.01,-0.54,0.09
ANALYZED,-1,1,1.04,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.37,1.78,-2.45,0.60,0.28,-1.89,0.28,-1.64,0.85,-0.57,0.05,-0.07,0.07,-0.05,0.01,-0.5,0.09
ANALYZED,-0.75,0,0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.33,1.79,-2.42,0.51,0.31,-1.54,0.29,-1.55,0.79,-0.88,0.06,-0.05,0.08,-0.05,0.01,-0.59,0.08
ANALYZED,-0.75,-0.75,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.98,1.72,-2.31,0.49,0.32,-1.37,0.28,-1.47,0.75,-0.76,0.04,-0.04,0.08,-0.04,0.01,-0.6,0.09
ANALYZED,-0.75,-1,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.12,1.79,-2.3,0.51,0.33,-1.54,0.29,-1.57,0.79,-0.78,0.06,-0.06,0.08,-0.04,0.01,-0.5,0.08
ANALYZED,-0.75,-0.5,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.31,1.75,-2.46,0.49,0.32,-1.42,0.28,-1.5,0.76,-0.98,0.06,-0.04,0.08,-0.04,0.01,-0.63,0.09
ANALYZED,-0.75,0.5,0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.36,1.82,-2.39,0.53,0.31,-1.64,0.29,-1.63,0.83,-0.78,0.06,-0.05,0.08,-0.04,0.01,-0.54,0.09
ANALYZED,-0.75,1,0.988,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.39,1.84,-2.38,0.54,0.28,-1.72,0.29,-1.66,0.84,-0.7,0.06,-0.06,0.08,-0.05,0.01,-0.52,0.1
ANALYZED,-0.75,-0.25,0.435,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.22,1.74,-2.43,0.50,0.32,-1.47,0.28,-1.51,0.78,-0.93,0.06,-0.04,0.08,-0.04,0.01,-0.6,0.08
